SDG 1,SDG 2,SDG3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17,Misc
,Poverty,Increasing life expectancy,Lifelong learning,Sexual violence,Reuse,Modern energy,Labour market,Research,Inclusion,Natural disasters,Natural resources,Extreme weather events,Marine ecosystems,Land degradation,Inclusive institutions,Weighted tariff average,Inter-generational
,Produce,Indigenous,Literacy,Social inclusion,River basins,Reliable energy,Labour rights,Resilient infrastructure,Income growth,Natural heritage,Obsolescence,Global mean temperature,Marine fisheries,Land loss,Inclusive societies/society,Women entrepreneurs,Irregular migration
,Productivity,Infected,Literacy skills,Trafficking,Rivers,Renewable,Micro finance,Resource use efficiency,Income inequality,Over crowding,Overconsumption,Global temperature,Marine Parks,Land use and sustainability,Institutions,World Trade Organization,Kaitiakitanga
,Quality of life,International health policy,Numeracy,Universal health coverage,Safe drinking water,Renewable energy,Migrant workers,Roads,Indigenous,Pollution,Production,Global warming,Marine pollution,Manage forests,Internally displaced,,Land locked developing countries
,Resilient agriculture,International health regulations,Preprimary education,Violence,Sanitation,Renewable power,Modern slavery,Sanitation,Inequalities,Population,Recycle,Greenhouse gas,Marine resources,Managed forests,Judiciary,,Least developed countries
,Rural infrastructure,Malaria,Primary education,Violence against girls,Sanitation and hygiene,Solar,Poverty eradication,Scientific research,Inequality,Population growth,Recycling,Greenhouse gas emissions,Ocean,Micro-organisms,Justice,,Leave no one behind
,Small-scale food producers,Maternal mortality,Qualified teachers,Violence against women,Sanitation management,Solar energy,Poverty line,Society,Migrant remittance,Public spaces,Reduce waste generation,Greenhouse gases,Ocean acidification,Permaculture,Justice for all,,Low impact agriculture
,Stunted growth,Measles,Refugees and learning,Women,Sewerage,Solar power,Productive employment,Sustainable industrialisation,Migration,Public transport,Reduction,Ice loss,Ocean temperature,Plants,Legal identity,,Low impact farming
,Stunting,Medical,Scholarships,Women in work,Sustainable water management,Sustainable energy,Productivity,Sustainable infrastructure,Population growth,Resilient,Renewable,Low-carbon economy,Oceanography,Poaching,National Security,,Low impact horticulture
,Sufficient food,Mental health,School,Women's rights,Sustainable withdrawals,Sustainable energy services,Public policy,Technological capabilities,Poverty,Resilient buildings,Resource efficiency,Natural disasters,Oceans,Poverty,Non-violence,,Migrant rights
,Sustainable,Mortality,School enrolment,Workplace equality,Third world,Sustainable power,Quality jobs,Technology,Public policy,Resource efficiency,Responsible production chains,Natural systems,Overfishing,Protected fauna,Organized crime,,Migration and policy
,Sustainable agriculture,Mortality rate,Secondary education,,Toilets,Vehicles,Quality of life,Trade,Quality of life,Resource needs,Retail,Ocean warming,Productive oceans,Protected flora,Paris principles,,Policy coherence
,Sustainable food production,Narcotic drug abuse,Teacher training,,Untreated wastewater,Wave,Resource efficiency,Transborder infrastructure,Race,Risk reduction strategy,Retail industry,Paris Agreement,Protected areas,Protected species,Peace,,Pollution - Air/Soil/Water
,Trade diversity,Neonatal mortality,Universal education,,Urban,Wind,Safe work,Transport,Racisim,Road safety,Reuse,Pollution,Sea grasses,Reforestation,Peaceful societies,,Promotion of shared responsibilities
,Trade restrictions,Polio,Vocational training,,Waste,Wind power,Secure work,Value chains,Reduce inequalities,Safe cities,Sustainable,Renewable,Seas,Soil,Physical abuse,,Recycling
,Under nourished / Undernourished,Premature mortality,Vulnerable,,Wastewater,Wind turbine,Slavery,Value chains and markets,Religion,Shanty,Sustainable consumption,Sea level rise / Rising sea / Rising sea level,Sustainable ecosystems,Soil degradation,Police,,Refugee crisis
,Wasting,Preventable deaths,Women's rights,,Wastewater treatment,Wood,Social policies,Water infrastructure,Rural,Slums,Sustainable management,Temperature,Unregulated fishing,Species,Prevent violence,,Refugee rights
,World’s hungry,Reducing malaria,,,Water,,Society,Water resources,Sex,Smart cities,Sustainable practices,Warming,Water resources and policy,Strategic plan for biodiversity,Psychological abuse,,Renewable
,,Reducing mortality,,,Water access,,Stable employment,,Sexism,Solid waste,Sustainable production,,,Terrestrial ecosystems,Public policy,,Resilient
,,Refugees and health services,,,Water disasters,,Stable jobs,,Social protection,Suburban,Sustainable public procurement,,,Threatened species,Quality of life,,Reuse technologies
,,Reproductive health,,,Water ecosystems,,Sustainable consumption,,Society,Sustainable,Sustainable resource use,,,Tree,Representative decision-making,,Small island developing states
,,Road traffic accidents,,,Water efficiency,,Sustainable economic growth,,Vulnerable nations,Sustainable building/s,Sustainable supply chain,,,Tree species,Rule of law,,Smart cities
,,Sexual and reproductive health-care,,,Water harvesting,,Sustainable production,,World trade,Sustainable cities/city,Sustainable tourism,,,Wetlands,Security threats,,Smart grid
,,Sexual health,,,Water quality,,Sustainable tourism,,,Sustainable communities,Vehicles,,,,Sexual abuse,,Smart houses
,,Soil contamination,,,Water resources management,,Trade,,,Sustainable urbanisation,Waste,,,,Sexual violence,,Social protection policies
,,Soil pollution,,,Water scarcity,,Unemployment,,,Town planning,Wasteful consumption,,,,Stolen assets,,Social responsibility
,,Tobacco control,,,Water supply,,Well-paid jobs,,,Transport,Water,,,,Tax evasion,,Sustainability
,,Treatment of substance abuse,,,Water-related ecosystems,,Women migrants,,,Transport systems,Water pollution,,,,Theft,,Sustainable
,,Tuberculosis,,,Water-use efficiency,,Work,,,Urban,Water supply,,,,Torture,,Sustainable development
,,Universal health,,,,,Work opportunities,,,Urban development,,,,,Trafficking,,Sustainable Development Goals
,,Universal health coverage,,,,,World trade,,,Urban planning,,,,,Transparency,,Sustainable development indicators
,,Vaccines,,,,,Youth employment,,,Urban sustainability,,,,,Un-sentenced detainees,,Sustainable management
,,Vaccines in developing countries,,,,,Youth unemployment,,,Urbanisation,,,,,Unstable societies,,Sustainable public transport
,,Violence,,,,,,,,Waste,,,,,Victims of violence,,Sustainable societies
,,WASH,,,,,,,,Waste generation,,,,,Violence,,Sustainable transport
,,"Water, Sanitation and Hygiene for All",,,,,,,,Waste management,,,,,Violence against women and children,,Technology for sustainable development
,,Water-borne disease,,,,,,,,Water,,,,,Violence rates,,Tele-working
,,wellbeing/well being/well-being,,,,,,,,Water-related disasters,,,,,Weapon seizures,,Transboundary cooperation
,,World Health Organisation,,,,,,,,,,,,,,,Water sensitive revitalisation
,,,,,,,,,,,,,,,,,Well-being
